Species ID	Species fullname	Number of contigs	Total contig length	N50 length	N90 length	Max length	% G+C content	% CheckM completeness	% CheckM contamination	Quality score	Phylum	Class	Order	Family	Genus	Species
M125	Hungatella hathewayi M125	126	5272234	72017	23678	368976	50.32	94.99	1.58	87.09	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella hathewayi
M126	Clostridium M126	20	1405655	173943	26952	380664	28.76	74.65	0.67	71.3	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M127	Enorma massiliensis M127	22	2278180	165479	55521	253718	61.6	99.19	0.81	95.14	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Enorma massiliensis
M128	UBA1820 M128	68	1771125	40230	12253	94846	56.69	91.91	0	91.91	Bacteroidetes	Flavobacteriia	Flavobacteriales	UBA1820	UBA1820_NA	NA
M129	Ruthenibacterium lactatiformans M129	52	3161761	93631	32387	303831	58.25	97.96	0	97.96	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium	Ruthenibacterium lactatiformans
M12A	Oscillibacter M12A	36	2056229	125686	23844	174828	61.03	93.96	0	93.96	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA
M12B	Bifidobacterium adolescentis M12B	7	2091498	659121	116419	783168	59.14	100	0	100	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
M12C	Oscillospiraceae M12C	48	2033141	59785	21282	146699	61.89	90.88	1.34	84.18	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M12D	Erysipelatoclostridium ramosum M12D	38	3352636	162226	49805	467041	31.23	100	0	100	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Erysipelatoclostridium ramosum
M12E	Bacteroides M12E	38	2537440	110075	29483	262192	45.76	98.68	0	98.68	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
M12F	CAG-917 M12F	22	1624139	122955	35411	388062	56.01	89.8	0	89.8	Firmicutes	Clostridia	Christensenellales	CAG-917	CAG-917_NA	NA
M130	Lachnospira rogosae M130	33	2658942	170222	40830	302696	35.99	99.33	0	99.33	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira rogosae
M131	Clostridium M131	20	1575197	136502	38027	614396	28.13	75.89	0.67	72.54	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M132	Fusobacterium mortiferum M132	45	2533568	109009	32415	271644	29.04	98.88	1.12	93.28	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium mortiferum
M133	Prevotella M133	57	3269137	93695	32317	201299	51.1	97.97	0.51	95.42	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
M134	Anaerostipes hadrus M134	42	2176641	90283	23378	211395	36.69	89.26	1.34	82.56	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus
M135	Roseburia M135	53	2581823	66544	22258	400743	41.1	97.09	0.67	93.74	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA
M136	Porphyromonadaceae M136	216	1755201	10462	4129	42954	56.26	79.25	0.22	78.15	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_NA	NA
M137	Phascolarctobacterium succinatutens M137	55	2114284	55814	20523	157564	47.7	100	0.9	95.5	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens
M138	Alistipes senegalensis M138	43	3657430	136106	38953	325697	58.69	99.76	0.48	97.36	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes senegalensis
M139	Bacteroides xylanisolvens M139	124	5927103	80373	23645	232314	41.95	97.74	0	97.74	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens
M13A	Mesosutterella multiformis M13A	13	2547340	426801	81698	515884	56.97	96.88	0	96.88	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Mesosutterella	Mesosutterella multiformis
M13B	Oscillospiraceae M13B	51	2289849	64681	27286	139566	60.94	92.62	0	92.62	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M13C	Collinsella M13C	87	2183279	36292	12686	122942	59.89	97.18	0.81	93.13	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M13D	Clostridium M13D	57	3571290	93055	34835	328453	29.86	98.46	2.52	85.86	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M13E	Oscillospiraceae M13E	47	2196355	68336	23999	191517	61.67	86.91	0.08	86.51	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M13F	Clostridium M13F	49	2578082	94803	27141	311586	28.73	98.36	0	98.36	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M140	Lactococcus raffinolactis M140	67	1954050	46049	12758	167029	40.51	96.98	1.26	90.68	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus raffinolactis
M141	Leuconostoc lactis M141	75	1488944	32982	8736	133943	44	97.91	0.08	97.51	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc lactis
M142	Bifidobacterium pseudocatenulatum M142	14	2156917	272267	53961	566312	56.37	100	0	100	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum
M143	Fournierella M143	56	2768888	64580	25086	329003	60.02	95.92	0.23	94.77	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Fournierella	NA
M144	Lawsonibacter M144	27	2389599	128118	48397	262909	56.67	98.83	0	98.83	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	NA
M145	Rikenella microfusus M145	44	2580842	81895	32582	195754	57.61	100	0	100	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenella	Rikenella microfusus
M146	Anaerotignum lactatifermentans M146	74	2811141	57785	19000	176334	45.13	97.32	0	97.32	Firmicutes	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum lactatifermentans
M147	Anaerovoracaceae M147	79	1744326	35171	10620	154709	43.97	96.64	0.71	93.09	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	Anaerovoracaceae_NA	NA
M148	Collinsella M148	45	2076159	66677	23897	166576	60.2	98.39	0.81	94.34	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M149	Intestinibacter bartlettii M149	179	3178129	31435	7860	111759	28.53	96.5	0.35	94.75	Firmicutes	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Intestinibacter	Intestinibacter bartlettii
M14A	Blautia M14A	127	3260985	38596	13960	103448	45.43	96.2	0.95	91.45	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
M14B	Azospirillum M14B	51	1752827	55187	17477	219687	45.8	97.85	0	97.85	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	NA
M14C	Oscillospiraceae M14C	116	3398042	61187	16639	186497	55.82	94.63	1.57	86.78	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M14D	Butyricicoccus pullicaecorum M14D	160	1982016	18162	5147	64721	55.26	90.43	0.69	86.98	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus pullicaecorum
M14E	Phocaeicola dorei M14E	106	5024368	81155	29889	320100	41.53	99.25	0	99.25	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola dorei
M14F	Clostridium ventriculi M14F	127	2495611	28736	9729	91325	27.01	97.51	1.36	90.71	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	Clostridium ventriculi
M150	Eubacterium M150	22	2229848	150105	58589	319052	33.3	98.66	0.67	95.31	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Eubacterium	NA
M151	Collinsella M151	65	1846377	54166	16074	133378	62.53	98.39	0.4	96.39	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M152	Evtepia gabavorous M152	41	2372940	140454	23414	345782	58.35	97.99	0.67	94.64	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Evtepia	Evtepia gabavorous
M153	Gemmiger M153	15	1755990	257715	72762	359789	61.77	70.75	0	70.75	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	NA
M154	Oscillospiraceae M154	45	2277570	77084	24861	185584	63.75	95.36	0	95.36	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M155	Parabacteroides M155	78	6649938	154462	45950	363715	43.09	98.82	0.38	96.92	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	NA
M156	CAG-74 M156	387	1931300	5716	2758	21771	61.39	78.57	1.21	72.52	Firmicutes	Clostridia	Christensenellales	CAG-74	CAG-74_NA	NA
M157	Frisingicoccus caecimuris M157	25	2289609	144360	47051	295889	43.84	96.64	0	96.64	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Frisingicoccus	Frisingicoccus caecimuris
M158	CAG-917 M158	10	1433552	332132	74844	422611	49.01	95.56	0.16	94.76	Firmicutes	Clostridia	Christensenellales	CAG-917	CAG-917_NA	NA
M159	Clostridium M159	32	2608743	199657	37451	285547	49.83	94.76	0	94.76	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M15A	Oscillospiraceae M15A	167	2237417	20947	6242	61495	61.47	92.19	0.67	88.84	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M15B	Ruminococcaceae M15B	75	2217958	43939	15398	114133	55.82	95.39	0	95.39	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_NA	NA
M15C	Oscillospiraceae M15C	156	2139933	18432	6661	66132	60.36	91.22	1.52	83.62	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M15D	Oxalobacter formigenes M15D	43	2369102	111198	23895	249234	49.66	98.92	1.44	91.72	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Oxalobacter	Oxalobacter formigenes
M15E	Oscillospiraceae M15E	64	2512074	69904	19126	142044	56.59	99.11	0	99.11	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M15F	Gastranaerophilaceae M15F	34	2243133	119097	30148	403936	35.18	89.74	0.28	88.34	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Gastranaerophilaceae_NA	NA
M160	Gastranaerophilaceae M160	37	2212859	118469	33725	272811	34.57	88.89	0.85	84.64	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Gastranaerophilaceae_NA	NA
M161	Azospirillum M161	54	1675449	39863	14641	144268	46.97	90.32	0	90.32	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	NA
M162	Porphyromonadaceae M162	129	2176452	26044	8073	88746	56.21	84.47	1.07	79.12	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_NA	NA
M163	Azospirillum M163	35	1576320	75762	17796	198356	50.95	97.79	0	97.79	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	NA
M164	Desulfovibrio piger M164	49	2417216	87209	27097	168240	63.89	99.88	0.59	96.93	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger
M165	Lachnospiraceae M165	172	2570572	20953	7309	90863	50.79	93.25	0.51	90.7	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NA	NA
M166	Clostridium M166	32	1419281	81573	23117	205541	27.52	72.59	1.4	65.59	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M167	Clostridium M167	80	2804261	70697	15506	229359	26.82	96.77	0.16	95.97	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M168	Eubacterium M168	22	1896137	126569	40540	272406	43.65	97.32	0	97.32	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_Eubacterium	NA
M169	Collinsella M169	35	2253173	106836	28652	274856	59.63	100	0.81	95.95	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M16A	Enterocloster M16A	46	2935338	127021	35933	267372	47.2	99.37	0	99.37	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	NA
M16B	Clostridium M16B	38	2815412	100994	36679	362870	48.72	100	0	100	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Clostridium	NA
M16C	Turicibacter M16C	113	2671821	38682	11321	111425	34.14	91.05	2.39	79.1	Firmicutes	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter	NA
M16D	Erysipelatoclostridium spiroforme M16D	68	2389345	59660	18588	125464	28.06	100	0	100	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Erysipelatoclostridium spiroforme
M16E	Clostridium M16E	19	1329005	110991	26618	492657	27.01	74.21	0.24	73.01	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M16F	Eubacterium M16F	15	1954294	225924	93617	380058	37.85	98.66	0	98.66	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_Eubacterium	NA
M170	Ruminococcus M170	15	1754013	198522	44952	368621	46.96	85.91	0	85.91	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_Ruminococcus	NA
M171	Clostridium M171	225	2413236	15367	5340	59024	36.32	84.07	1.01	79.02	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Clostridium	NA
M172	Eubacterium M172	177	1986678	16447	5444	46122	33.85	95.97	1.34	89.27	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Eubacterium	NA
M173	Coprococcus eutactus M173	23	2781609	247708	50948	468427	43.18	99.33	0	99.33	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus eutactus
M174	Roseburia M174	15	2374600	256804	89831	553592	45.2	98.43	0.24	97.23	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA
M175	Gemmiger M175	54	2592462	75537	30866	154176	58.13	97.28	0	97.28	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	NA
M176	Acutalibacteraceae M176	59	2361769	65095	17265	196612	56.24	96.64	0.69	93.19	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_NA	NA
M177	Agathobacter M177	394	2671256	9105	3233	36908	38.8	84.34	2.87	69.99	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	NA
M178	Ruminococcaceae M178	207	2954703	24399	6466	78803	55.22	84.21	0	84.21	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_NA	NA
M179	Alistipes M179	19	2913624	276477	98534	322483	54.59	100	0	100	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA
M17A	Eisenbergiella M17A	43	2988774	108884	43710	297186	48.47	98.66	0.19	97.71	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	NA
M17B	Oscillibacter M17B	249	3053509	19987	5265	80761	55.67	97.65	0.73	94	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA
M17C	Alistipes shahii M17C	30	3010488	166818	45184	315638	58.74	100	0	100	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii
M17D	Lawsonibacter M17D	38	2360731	134166	28801	241440	61.1	91.61	0	91.61	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	NA
M17E	Dysosmobacter welbionis M17E	56	2430440	61612	19893	212965	61.81	98.66	0	98.66	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter welbionis
M17F	Roseburia intestinalis M17F	74	3574891	74855	26925	248609	42.63	99.03	0.36	97.23	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia intestinalis
M180	Collinsella M180	37	2151883	95692	35184	194634	60.11	96.77	0.81	92.72	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M181	Desulfovibrio legallii M181	69	2667231	75520	18981	174591	62.81	99.41	0	99.41	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio legallii
M182	Blautia M182	160	3851018	56149	9508	242338	40.8	97.47	0	97.47	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
M183	Klebsiella pneumoniae M183	27	4939309	210985	123669	457484	57.88	98.51	0.04	98.31	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
M184	CAG-288 M184	18	1506022	172867	61498	234784	30.56	92.13	0	92.13	Tenericutes	Mollicutes	RFN20	CAG-288	CAG-288_NA	NA
M185	Victivallis M185	62	4676365	112063	39951	429133	60.82	94.59	2.03	84.44	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	NA
M186	Oscillibacter M186	30	1998028	119070	32503	294361	61.86	87.92	0	87.92	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA
M187	CAG-312 M187	111	2215535	29452	9901	81635	58.16	91.89	1.35	85.14	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	CAG-312_NA	NA
M188	Clostridium M188	48	1557901	94208	15091	141716	29.59	78.35	0.67	75	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M189	Oscillospiraceae M189	263	1750740	8519	3343	39673	60.4	75.46	2.01	65.41	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M18A	Christensenellaceae M18A	41	2238307	83795	32999	152438	52.74	98.39	0	98.39	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_NA	NA
M18B	Ruminococcus M18B	41	2396349	192816	40793	332611	39.55	98.66	0	98.66	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_Ruminococcus	NA
M18C	CAG-288 M18C	50	1108891	32670	12328	124323	29.69	78.09	0	78.09	Tenericutes	Mollicutes	RFN20	CAG-288	CAG-288_NA	NA
M18D	Oscillospiraceae M18D	38	2062667	70198	27764	149489	61.58	96.31	0.67	92.96	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M18E	Eubacterium M18E	8	1392777	224292	124883	369560	41.66	74.5	0	74.5	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_Eubacterium	NA
M18F	Prevotella M18F	78	3072218	57683	22696	124286	46.12	96.28	1.13	90.63	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
M190	Muribaculum M190	52	3512282	105783	37908	388261	48.57	99.43	0.5	96.93	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	NA
M191	Bacteroides M191	61	6647192	161587	60514	540476	43.26	99.07	0.19	98.12	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
M192	Oscillospiraceae M192	44	2262731	83383	24862	284903	58.56	98.66	0	98.66	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M193	Christensenellaceae M193	60	1847401	56690	15481	142102	47.91	86.42	0.81	82.37	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_NA	NA
M194	CAG-74 M194	388	2704370	9012	3321	36781	60.73	91.56	3.9	72.06	Firmicutes	Clostridia	Christensenellales	CAG-74	CAG-74_NA	NA
M195	Catabacteriaceae M195	12	883571	115117	36763	215921	35.29	90.45	0	90.45	Firmicutes	Clostridia	Christensenellales	Catabacteriaceae	Catabacteriaceae_NA	NA
M196	Muribaculaceae M196	27	2015724	112524	51616	277158	57.57	91.19	0	91.19	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_NA	NA
M197	Oscillospiraceae M197	40	2679657	97512	31989	313117	56.39	98.43	1.01	93.38	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M198	Oscillospiraceae M198	105	2316149	33367	11709	114450	62.98	93.08	0.89	88.63	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M199	Blautia M199	118	2732861	46076	10263	164652	43.11	93.92	2.13	83.27	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
M19A	Clostridium M19A	46	1588643	64974	17057	164363	27.08	79.35	0	79.35	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M19B	Clostridium M19B	18	1551886	154277	51525	387542	29.71	78.79	0.67	75.44	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M19C	Bacteroides caccae M19C	62	4534424	136821	37978	318891	42	98.36	0.46	96.06	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae
M19D	Oscillospiraceae M19D	70	2491788	56937	19472	104232	59.92	93.12	1.36	86.32	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M19E	Dorea M19E	38	2091289	87032	24087	183326	52.5	97.66	0	97.66	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	NA
M19F	Massilimicrobiota M19F	57	2393924	79626	21553	226096	31.34	100	0.13	99.35	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Massilimicrobiota	NA
M1A0	Holdemanella biformis M1A0	68	2086652	52801	13544	147306	33.74	97.3	0.13	96.65	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella biformis
M1A1	Acutalibacteraceae M1A1	35	2698985	95806	47064	231824	58.53	99.33	1.68	90.93	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_NA	NA
M1A2	Clostridiaceae M1A2	56	1686923	54574	13232	130143	29.23	77.79	1.12	72.19	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_NA	NA
M1A3	Oscillibacter M1A3	55	2504795	94679	22389	221916	63.14	97.32	1.34	90.62	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA
M1A4	Enterocloster asparagiformis M1A4	193	5660502	54235	13089	270542	56.26	92.52	0.95	87.77	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster asparagiformis
M1A5	Lactobacillus johnsonii M1A5	21	1717832	135694	56548	213303	34.43	99.22	0	99.22	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
M1A6	Lactobacillus vaginalis M1A6	41	1668516	77512	16077	216275	40.51	99.46	1.45	92.21	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Lactobacillus vaginalis
M1A7	Phascolarctobacterium faecium M1A7	65	2065775	50335	14769	123169	56.64	97.21	1.3	90.71	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium faecium
M1A8	Dialister succinatiphilus M1A8	126	2184210	40174	6546	206713	51.07	99.28	0.63	96.13	Firmicutes	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister succinatiphilus
M1A9	Acutalibacteraceae M1A9	122	3010170	40743	11581	134486	58.1	97.82	0.67	94.47	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_NA	NA
M1AA	Clostridium M1AA	336	2107467	7646	3025	37011	54.18	82.3	1.37	75.45	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Clostridium	NA
M1AB	Collinsella M1AB	30	1911635	89930	34575	284835	59.73	100	1.61	91.95	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M1AC	Clostridium leptum M1AC	18	2868382	262041	85948	427033	50.21	99.33	0	99.33	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_Clostridium	Clostridium leptum
M1AD	Collinsella M1AD	19	2188525	218368	55446	335822	59.91	100	0.81	95.95	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M1AE	Bacteroides intestinalis M1AE	44	6056836	293131	83544	522699	42.39	99.13	1.12	93.53	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis
M1AF	Enterococcus M1AF	22	3551945	224811	87424	790512	42.66	99.62	0.38	97.72	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
M1B0	Klebsiella oxytoca M1B0	134	5737691	81007	18223	378323	55.22	97.74	0.17	96.89	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca
M1B1	Ruminococcus gnavus M1B1	51	3054713	91141	33380	277907	42.95	99.42	0	99.42	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Ruminococcus	Ruminococcus gnavus
M1B2	Clostridium M1B2	30	1429322	77174	25483	142754	26.53	76.78	1.34	70.08	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M1B3	Ruminococcaceae M1B3	169	2239060	20637	6098	78190	41.09	83.22	0.67	79.87	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_NA	NA
M1B4	CAG-302 M1B4	17	1166485	103037	36018	285630	26.52	93.54	0	93.54	Tenericutes	Mollicutes	Mycoplasmatales	CAG-302	CAG-302_NA	NA
M1B5	Erysipelatoclostridium M1B5	150	2798784	34394	8333	148400	29.09	99.06	0	99.06	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	NA
M1B6	Clostridium M1B6	15	1774415	240706	93980	418834	26.17	78.06	2.91	63.51	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M1B7	Anaerofilum M1B7	172	2886918	25669	7203	168378	60.36	96.26	3.2	80.26	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Anaerofilum	NA
M1B8	Eisenbergiella M1B8	34	2913360	112644	42734	556934	51.88	97.11	0.48	94.71	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	NA
